,District,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15
0,dolnośląskie,"6,65","6,86","7,01","7,28","7,04",7.3
1,kujawsko-pomorskie,"7,16","7,26","7,2","7,2","7,31",7.31
2,lubelskie,"6,68","6,68","6,69","7,03","7,03",7.2
3,lubuskie,"6,34","6,23","6,12","6,12","6,12",5.92
4,łódzkie,"6,96","7,21","7,29","7,22","6,9",6.9
5,małopolskie,"6,64","6,71","6,97","7,09","7,18",7.24
6,mazowieckie,"6,61","6,7","6,69","6,82","6,87",6.91
7,opolskie,"7,06","7,06","7,06","7,12","6,68",6.83
8,podkarpackie,"6,17","6,17","6,17","6,02","5,68",6.02
9,podlaskie,"6,72","6,35","6,35","6,9","7,45",7.45
10,pomorskie,"6,47","6,61","6,61","7,01","7,01",7.03
11,śląskie,"6,65","6,71","6,71","6,77","6,91",6.99
12,świętokrzyskie,"6,95","6,95","7,03","7,25","7,37",7.34
13,warmińsko-mazurskie,"6,12","6,4","6,37","6,49","6,49",6.95
14,wielkopolskie,"6,68","6,86","6,88","7,01","7,09",7.27
15,zachodniopomorskie,"6,8","7,1","7,1","7,18","7,25",7.36
16,Polska,"6,66","6,78","6,83","6,97","6,94",7.06
