,District,95,98,ON,ON+,LPG
0,dolnośląskie,6.74,7.3,7.49,7.77,3.71
1,kujawsko-pomorskie,6.97,7.23,7.41,0.0,3.47
2,lubelskie,6.42,0.0,7.31,7.76,3.3
3,lubuskie,6.02,5.92,6.18,0.0,3.41
4,łódzkie,6.96,6.92,7.59,7.85,3.69
5,małopolskie,6.88,7.16,7.44,7.19,3.72
6,mazowieckie,6.78,6.85,7.32,7.47,3.55
7,opolskie,6.74,6.63,7.58,6.9,3.81
8,podkarpackie,6.81,5.0,7.09,7.89,3.41
9,podlaskie,6.56,7.45,6.96,7.88,3.61
10,pomorskie,6.8,7.08,7.5,7.84,3.66
11,śląskie,6.74,7.02,7.24,7.81,3.53
12,świętokrzyskie,6.81,7.26,7.17,7.52,3.76
13,warmińsko-mazurskie,6.51,7.31,7.61,6.96,3.55
14,wielkopolskie,6.82,7.21,7.46,7.69,3.34
15,zachodniopomorskie,6.75,7.49,7.2,8.14,3.73
16,Polska,6.78,7.05,7.42,7.54,3.6
