,District,95,98,ON,ON+,LPG
0,dolnośląskie,6.76,7.3,7.42,7.35,3.61
1,kujawsko-pomorskie,6.92,7.31,7.42,0.0,3.32
2,lubelskie,6.48,7.2,7.25,7.57,3.28
3,lubuskie,6.18,5.92,6.33,0.0,3.35
4,łódzkie,6.99,6.9,7.36,7.84,3.58
5,małopolskie,6.96,7.24,7.38,7.22,3.65
6,mazowieckie,6.77,6.91,7.26,7.5,3.5
7,opolskie,6.82,6.83,7.55,7.34,3.6
8,podkarpackie,6.84,6.02,6.86,6.77,3.38
9,podlaskie,6.46,7.45,6.58,7.64,3.49
10,pomorskie,6.76,7.03,7.33,7.74,3.5
11,śląskie,6.71,6.99,7.15,7.55,3.37
12,świętokrzyskie,6.71,7.34,7.03,7.52,3.51
13,warmińsko-mazurskie,6.53,6.95,7.16,6.31,3.55
14,wielkopolskie,6.8,7.27,7.23,7.38,3.22
15,zachodniopomorskie,6.73,7.36,7.32,7.97,3.64
16,Polska,6.78,7.06,7.31,7.49,3.51
