,District,95,98,ON,ON+,LPG
0,dolnośląskie,6.41,6.65,6.77,6.78,3.17
1,kujawsko-pomorskie,6.44,7.16,6.82,6.71,3.1
2,lubelskie,6.15,6.68,6.65,6.71,2.87
3,lubuskie,6.3,6.34,6.49,6.86,3.08
4,łódzkie,6.54,6.96,6.61,6.96,3.15
5,małopolskie,6.5,6.64,6.71,6.93,3.06
6,mazowieckie,6.33,6.61,6.54,6.96,3.14
7,opolskie,6.53,7.06,6.88,6.53,3.25
8,podkarpackie,6.02,6.17,6.49,6.29,3.03
9,podlaskie,6.39,6.72,6.37,6.79,3.05
10,pomorskie,6.47,6.47,6.94,7.16,3.16
11,śląskie,6.32,6.65,6.6,6.67,3.04
12,świętokrzyskie,6.29,6.95,6.78,7.03,3.15
13,warmińsko-mazurskie,6.3,6.12,6.46,6.92,3.05
14,wielkopolskie,6.32,6.68,6.49,5.99,3.06
15,zachodniopomorskie,6.32,6.8,6.59,7.13,3.13
16,Polska,6.37,6.66,6.66,6.81,3.11
