,District,95,98,ON,ON+,LPG
0,dolnośląskie,6.76,7.04,7.4,7.15,3.39
1,kujawsko-pomorskie,6.9,7.31,7.33,7.0,3.32
2,lubelskie,6.34,7.03,7.09,6.64,3.18
3,lubuskie,6.26,6.12,6.57,0.0,3.37
4,łódzkie,6.98,6.9,7.25,7.84,3.49
5,małopolskie,6.92,7.18,7.24,7.18,3.59
6,mazowieckie,6.72,6.87,7.23,7.35,3.44
7,opolskie,6.8,6.68,7.49,6.79,3.36
8,podkarpackie,6.69,5.68,6.61,6.34,3.34
9,podlaskie,6.51,7.45,6.6,7.41,3.43
10,pomorskie,6.77,7.01,7.41,7.68,3.4
11,śląskie,6.61,6.91,7.07,7.24,3.23
12,świętokrzyskie,6.53,7.37,6.8,8.09,3.36
13,warmińsko-mazurskie,6.44,6.49,6.85,6.31,3.4
14,wielkopolskie,6.74,7.09,7.14,7.38,3.23
15,zachodniopomorskie,6.58,7.25,6.99,7.68,3.48
16,Polska,6.7,6.94,7.2,7.23,3.41
