,District,95,98,ON,ON+,LPG
0,dolnośląskie,6.77,7.21,7.53,7.46,3.72
1,kujawsko-pomorskie,6.91,7.04,7.56,7.64,3.71
2,lubelskie,6.5,0.0,7.66,7.68,3.45
3,lubuskie,6.08,5.92,6.54,0.0,3.47
4,łódzkie,6.95,6.75,7.71,7.98,3.76
5,małopolskie,6.83,7.18,7.35,7.43,4.04
6,mazowieckie,6.68,6.9,7.44,7.42,3.63
7,opolskie,6.72,6.63,7.53,7.17,3.81
8,podkarpackie,6.77,5.0,7.37,7.89,3.43
9,podlaskie,6.37,7.45,6.92,7.77,3.65
10,pomorskie,6.78,7.11,7.53,7.89,3.77
11,śląskie,6.74,7.01,7.31,7.78,3.65
12,świętokrzyskie,6.79,7.25,7.51,7.54,3.78
13,warmińsko-mazurskie,6.38,7.22,7.61,6.96,3.83
14,wielkopolskie,6.8,7.12,7.47,8.05,3.41
15,zachodniopomorskie,6.48,7.49,7.08,8.16,3.72
16,Polska,6.75,7.04,7.47,7.55,3.7
